Closed,Site Name(s),Facility Name,Project Short Name,OH Region,LOB,Project Type,OH Go-Live Date,Hospital Go-Live Date,Project Status,OH Project Lead,Kanban-Project Lead,OH Specialist(s),Charter Status,Prelim HL7,Cycle 1,Cycle 2,eCTAS CAV,Kick-Off Date,Testing Start,Testing End,Current Integration,Future Integration,OH Go-Live Date Confirmed,Baseline Testing Start,Baseline Testing End,Labels
No,Site K,Westside Medical Center,EHR Upgrade,West,Acute Care,Upgrade,2025-07-10,,Planning,"Wilson, Jennifer","Wilson, Jennifer","Johnson, Mary",Complete,In Progress,Not Started,Not Started,Not Started,2025-01-20,2025-05-15,2025-07-05,HL7 v2.6,HL7 v2.7,No,2025-05-15,2025-07-05,
No,Site L,Harbor View,Healthcare Connect,Northeast,Acute Care,Integration,2025-02-20,,In Progress,"Smith, John","Smith, John","Martinez, Carlos",Complete,Complete,Complete,Complete,In Progress,2024-10-15,2025-01-15,2025-02-15,HL7 v2.5,HL7 FHIR,Yes,2025-01-15,2025-02-15,High Priority
Yes,Site M,Prairie Regional,Patient Portal,Midwest,Ambulatory,New Implementation,2024-11-30,,Completed,"Davis, Sarah","Davis, Sarah","Anderson, Lisa",Complete,Complete,Complete,Complete,Complete,2024-08-15,2024-10-01,2024-11-25,None,Patient Portal,Yes,2024-10-01,2024-11-25,
No,Site N,Summit Hospital,Telehealth,West,Acute Care,New Implementation,2025-06-25,,Planning,"Taylor, Robert","Taylor, Robert","Williams, James",In Progress,Not Started,Not Started,Not Started,Not Started,2025-02-01,2025-05-01,2025-06-20,None,Telehealth Platform,No,2025-05-01,2025-06-20,
No,Site O,Coastal Medical,Healthcare Connect,South,Acute Care,Integration,2025-04-15,,Active,"Brown, Michael","Brown, Michael","Johnson, Mary",Complete,Complete,In Progress,Not Started,Not Started,2024-12-10,2025-03-01,2025-04-10,HL7 v2.4,HL7 FHIR,Yes,2025-03-01,2025-04-10,Priority
No,Site P,Downtown Clinic,Patient Portal,Northeast,Ambulatory,New Implementation,2025-03-10,,Active,"Davis, Sarah","Davis, Sarah","Martinez, Carlos",Complete,Complete,Complete,In Progress,Not Started,2024-11-15,2025-02-01,2025-03-05,Legacy Portal,Patient Portal,Yes,2025-02-01,2025-03-05,
No,Site Q,Northern Hospital,EHR Upgrade,Midwest,Acute Care,Upgrade,2025-05-30,,Planning,"Wilson, Jennifer","Wilson, Jennifer","Anderson, Lisa",Complete,In Progress,Not Started,Not Started,Not Started,2025-01-05,2025-04-10,2025-05-25,HL7 v2.5,HL7 v2.7,Yes,2025-04-10,2025-05-25,
No,Site R,Garden State Medical,Healthcare Connect,Northeast,Acute Care,Integration,2025-07-20,,Planning,"Smith, John","Smith, John","Williams, James",In Progress,Not Started,Not Started,Not Started,Not Started,2025-02-15,2025-05-20,2025-07-15,HL7 v2.5,HL7 FHIR,No,2025-05-20,2025-07-15,
No,Site S,Sunset Hospital,Telehealth,South,Acute Care,New Implementation,2025-03-20,,Active,"Taylor, Robert","Taylor, Robert","Johnson, Mary",Complete,Complete,In Progress,Pending,Not Started,2024-11-25,2025-02-08,2025-03-15,None,Telehealth Platform,Yes,2025-02-08,2025-03-15,High Priority
No,Site T,Maple Grove Clinic,Patient Portal,Midwest,Ambulatory,New Implementation,2025-06-05,,Planning,"Davis, Sarah","Davis, Sarah","Martinez, Carlos",Complete,In Progress,Not Started,Not Started,Not Started,2025-01-10,2025-04-05,2025-06-01,Legacy Portal,Patient Portal,No,2025-04-05,2025-06-01,
No,Site U,Oceanview Hospital,Healthcare Connect,West,Acute Care,Integration,2025-02-15,,In Progress,"Brown, Michael","Brown, Michael","Anderson, Lisa",Complete,Complete,Complete,In Progress,Not Started,2024-10-25,2025-01-10,2025-02-10,HL7 v2.6,HL7 FHIR,Yes,2025-01-10,2025-02-10,Priority
No,Site V,Canyon Medical Center,EHR Upgrade,West,Acute Care,Upgrade,2025-08-15,,Planning,"Wilson, Jennifer","Wilson, Jennifer","Williams, James",Complete,Not Started,Not Started,Not Started,Not Started,2025-02-20,2025-06-10,2025-08-10,HL7 v2.5,HL7 v2.7,No,2025-06-10,2025-08-10,
No,Site W,Hillside Clinic,Patient Portal,South,Ambulatory,New Implementation,2025-04-25,,Planning,"Davis, Sarah","Davis, Sarah","Johnson, Mary",Complete,In Progress,Not Started,Not Started,Not Started,2024-12-28,2025-03-20,2025-04-20,None,Patient Portal,Yes,2025-03-20,2025-04-20,
No,Site X,Bay Area Hospital,Healthcare Connect,West,Acute Care,Integration,2025-05-05,,Active,"Smith, John","Smith, John","Martinez, Carlos",Complete,Complete,In Progress,Not Started,Not Started,2024-12-05,2025-03-10,2025-05-01,HL7 v2.5,HL7 FHIR,Yes,2025-03-10,2025-05-01,High Priority
No,Site Y,River Valley Medical,Telehealth,Midwest,Acute Care,New Implementation,2025-07-30,,Planning,"Taylor, Robert","Taylor, Robert","Anderson, Lisa",In Progress,Not Started,Not Started,Not Started,Not Started,2025-02-25,2025-06-01,2025-07-25,None,Telehealth Platform,No,2025-06-01,2025-07-25,
